"NGA","PolID","Time","uniq","Dupl","Pastor"
"Susiana","IrForma",-7200,"y","n",2
"Susiana","IrForma",-7100,"n","n",2
"Susiana","IrArcha",-7000,"y","n",3
"Susiana","IrArcha",-6900,"n","n",3
"Susiana","IrArcha",-6800,"n","n",3
"Susiana","IrArcha",-6700,"n","n",3
"Susiana","IrArcha",-6600,"n","n",3
"Susiana","IrArcha",-6500,"n","n",3
"Susiana","IrArcha",-6400,"n","n",3
"Susiana","IrArcha",-6300,"n","n",3
"Susiana","IrArcha",-6200,"n","n",3
"Susiana","IrArcha",-6100,"n","n",3
"Susiana","IrKhzE*",-6000,"y","n",3
"Susiana","IrKhzE*",-5900,"n","n",3
"Susiana","IrKhzE*",-5800,"n","n",3
"Susiana","IrKhzEM",-5700,"y","n",3
"Susiana","IrKhzEM",-5600,"n","n",3
"Susiana","IrKhzEM",-5500,"n","n",3
"Susiana","IrKhzEM",-5400,"n","n",3
"Susiana","IrKhzEM",-5300,"n","n",3
"Susiana","IrKhzEM",-5200,"n","n",3
"Susiana","IrKhzM*",-5100,"y","n",3
"Susiana","IrKhzM*",-5000,"n","n",2
"Susiana","IrKhzM*",-4900,"y","n",2
"Susiana","IrKhzM*",-4800,"n","n",2
"Susiana","IrKhzL*",-4700,"y","n",2
"Susiana","IrKhzL*",-4600,"n","n",2
"Susiana","IrKhzL*",-4500,"n","n",2
"Susiana","IrKhzL*",-4400,"n","n",2
"Susiana","IrSusa1",-4300,"y","n",2
"Susiana","IrSusa1",-4200,"n","n",2
"Susiana","IrSusa1",-4100,"n","n",2
"Susiana","IrSusa1",-4000,"n","n",2
"Susiana","IrSusa1",-3900,"y","n",2
"Susiana","IrSusa2",-3800,"y","n",2
"Susiana","IrSusa2",-3700,"y","n",2
"Susiana","IrSusa2",-3600,"y","n",2
"Susiana","IrSusa2",-3500,"y","n",2
"Susiana","IrSusa2",-3400,"y","n",2
"Susiana","IrSusa2",-3300,"n","n",2
"Susiana","IrSusa2",-3200,"y","n",2
"Susiana","IrSusa3",-3100,"y","n",2
"Susiana","IrSusa3",-3000,"n","n",3
"Susiana","IrSusa3",-2900,"n","n",3
"Susiana","IrSusa3",-2800,"n","n",3
"Susiana","IrSusa3",-2700,"n","n",3
"Susiana","IrAwanE",-2600,"y","n",3
"Susiana","IrAwanE",-2500,"n","n",3
"Susiana","IrAwanE",-2400,"n","n",3
"Susiana","IrAwanE",-2300,"n","n",3
"Susiana","IqAkkad",-2200,"y","y",3
"Susiana","IqUrIII",-2100,"y","y",3
"Susiana","IrShima",-2000,"y","n",3
"Susiana","IrSukkE",-1900,"y","n",3
"Susiana","IrSukkE",-1800,"n","n",3
"Susiana","IrSukkL",-1700,"y","n",3
"Susiana","IrSukkL",-1600,"y","n",3
"Susiana","IrMElm1",-1500,"y","n",3
"Susiana","IrMElm2",-1400,"y","n",3
"Susiana","IrMElm2",-1300,"y","n",3
"Susiana","IrMElm3",-1200,"y","n",3
"Susiana","IrElmCP",-1100,"y","n",3
"Susiana","IrElmCP",-1000,"n","n",3
"Susiana","IrNElm1",-900,"y","n",3
"Susiana","IrNElm1",-800,"n","n",3
"Susiana","IrNElm2",-700,"y","n",3
"Susiana","IrNElm3",-600,"y","n",3
"Susiana","IrAchae",-500,"y","n",3
"Susiana","IrAchae",-400,"y","n",3
"Susiana","IrSeleu",-300,"y","n",3
"Susiana","IrSeleu",-200,"y","n",3
"Susiana","IrPart1",-100,"y","n",3
"Susiana","IrPart1",0,"y","n",3
"Susiana","IrElym2",100,"y","n",3
"Susiana","IrElym2",200,"n","n",3
"Susiana","IrSasn1",300,"y","n",3
"Susiana","IrSasn1",400,"y","n",3
"Susiana","IrSasn2",500,"y","n",3
"Susiana","IrSasn2",600,"y","n",3
"Susiana","SyCalUm",700,"y","y",3
"Susiana","IqAbbs1",800,"y","y",3
"Susiana","IqAbbs1",900,"n","y",3
"Susiana","IrBuyid",1000,"y","n",3
"Susiana","IrSeljq",1100,"y","n",3
"Susiana","IqAbbs2",1200,"y","y",3
"Susiana","IrIlkhn",1300,"y","n",3
"Susiana","UzTimur",1400,"y","y",3
"Susiana","IrAkKoy",1500,"y","n",3
"Susiana","IrSafvd",1600,"y","n",3
"Susiana","IrSafvd",1700,"n","n",3
"Susiana","IrQajar",1800,"y","n",3
"Susiana","IrQajar",1900,"y","n",3
"Galilee","IlCanaa",-2000,"y","n",3
"Galilee","IlCanaa",-1900,"n","n",3
"Galilee","IlCanaa",-1800,"y","n",3
"Galilee","IlCanaa",-1700,"n","n",3
"Galilee","IlCanaa",-1600,"n","n",3
"Galilee","IlCanaa",-1500,"y","n",3
"Galilee","IlCanaa",-1400,"n","n",3
"Galilee","IlCanaa",-1300,"n","n",3
"Galilee","IlCanaa",-1200,"n","n",3
"Galilee","LbAcPho",-1100,"y","n",3
"Galilee","IlYisrl",-1000,"y","n",3
"Galilee","IlYisrl",-900,"y","n",3
"Galilee","IlYisrl",-800,"y","n",3
"Galilee","IqNAssr",-700,"y","y",3
"Galilee","IqNeoBb",-600,"y","y",3
"Galilee","IrAchae",-500,"y","y",3
"Galilee","IrAchae",-400,"n","y",3
"Galilee","EgPtol1",-300,"y","y",3
"Galilee","EgPtol1",-200,"n","y",3
"Galilee","IrSeleu",-200,"y","y",3
"Galilee","IlJudea",-100,"y","n",3
"Konya Plain","TrNeoER",-9600,"y","n",2
"Konya Plain","TrNeoER",-9500,"n","n",2
"Konya Plain","TrNeoER",-9400,"n","n",2
"Konya Plain","TrNeoER",-9300,"n","n",2
"Konya Plain","TrNeoER",-9200,"n","n",2
"Konya Plain","TrNeoER",-9100,"n","n",2
"Konya Plain","TrNeoER",-9000,"n","n",2
"Konya Plain","TrNeoER",-8900,"n","n",2
"Konya Plain","TrNeoER",-8800,"n","n",2
"Konya Plain","TrNeoER",-8700,"n","n",2
"Konya Plain","TrNeoER",-8600,"n","n",2
"Konya Plain","TrNeoER",-8500,"n","n",2
"Konya Plain","TrNeoER",-8400,"n","n",2
"Konya Plain","TrNeoER",-8300,"n","n",2
"Konya Plain","TrNeoER",-8200,"n","n",2
"Konya Plain","TrNeoER",-8100,"n","n",2
"Konya Plain","TrNeoER",-8000,"n","n",2
"Konya Plain","TrNeoER",-7900,"n","n",2
"Konya Plain","TrNeoER",-7800,"n","n",2
"Konya Plain","TrNeoER",-7700,"n","n",2
"Konya Plain","TrNeoER",-7600,"n","n",2
"Konya Plain","TrNeoER",-7500,"n","n",2
"Konya Plain","TrNeoER",-7400,"n","n",2
"Konya Plain","TrNeoER",-7300,"n","n",2
"Konya Plain","TrNeoER",-7200,"n","n",2
"Konya Plain","TrNeoER",-7100,"n","n",2
"Konya Plain","TrNeoCR",-7000,"y","n",2
"Konya Plain","TrNeoCR",-6900,"n","n",2
"Konya Plain","TrNeoCR",-6800,"n","n",2
"Konya Plain","TrNeoCR",-6700,"n","n",2
"Konya Plain","TrNeoLT",-6600,"y","n",2
"Konya Plain","TrNeoLT",-6500,"n","n",2
"Konya Plain","TrNeoLT",-6400,"n","n",2
