Region,ArchaeoGlobe_Label,AG.area,Continent,MinExt,MidExt,MaxExt,MinInt,MidInt,MaxInt,SplitUrb,Urb,Agri,FirstYear10
53,Urals,1727770,Afroeurasia,-2000,1750,9999,1750,9999,9999,9999,9999,1750,1300
54,Siberia,5053980,Afroeurasia,-2000,-1000,1850,0,1750,1850,0,0,-1000,-100
55,Far Eastern Russia,6129850,Afroeurasia,-2000,-1000,9999,-2000,1500,9999,1500,1500,-2000,1300
56,Turkey,756994,Afroeurasia,-8000,-6000,-2000,-6000,-4000,-1000,-4000,-2000,-6000,-1500
57,The Caucasus,184232,Afroeurasia,-6000,-6000,-1000,-6000,-2000,-1000,-2000,-2000,-6000,-1200
58,"Syria, Cyprus, and the Levant",322170,Afroeurasia,-8000,-8000,9999,-8000,-6000,-2000,-4000,-4000,-8000,-1500
59,Iraq,452189,Afroeurasia,-8000,-4000,9999,-8000,-4000,-2000,-4000,-4000,-8000,-1500
60,Northwestern Iran,225704,Afroeurasia,-6000,9999,9999,-6000,-4000,1500,-2000,-2000,-6000,-1500
61,Western Iran,442183,Afroeurasia,-8000,-4000,9999,-6000,-4000,1500,-2000,-2000,-6000,-1500
62,Eastern Iran,954984,Afroeurasia,-6000,-6000,9999,-6000,0,0,-2000,-2000,-6000,-500
63,Arabia,1942210,Afroeurasia,-4000,9999,9999,-2000,-2000,1850,1000,1000,-2000,600
64,"Yemen, Oman, and the UAE",839898,Afroeurasia,-2000,9999,9999,-1000,-1000,9999,1000,1000,-1000,500
65,Morocco,692180,Afroeurasia,-4000,0,9999,0,1000,9999,0,0,0,-100
66,Northern Algeria,325335,Afroeurasia,-2000,-2000,0,0,0,9999,0,0,-2000,-100
67,Tunisia,157005,Afroeurasia,-2000,-2000,9999,-2000,0,0,0,0,-2000,-500
68,Southern Algeria,1992140,Africa,-4000,-1000,9999,9999,9999,9999,0,1000,-1000,800
69,Northwestern Libya,275252,Afroeurasia,-4000,-2000,1500,-2000,-1000,1000,0,0,-2000,-500
70,Southern Libya,1023020,Africa,-2000,0,9999,0,9999,9999,1000,1000,0,700
71,Northeastern Libya,331898,Afroeurasia,-4000,-2000,1500,0,0,9999,0,0,-2000,-1300
