"NGA","PolID","Time","Class","uniq","Dupl","n"
"Susiana","IrSasn2",600,3,"y","n",1
"Susiana","SyCalUm",700,3,"y","y",1
"Susiana","IqAbbs1",800,3,"y","y",1
"Susiana","IqAbbs1",900,3,"n","y",1
"Susiana","IrBuyid",1000,3,"y","n",1
"Susiana","IrSeljq",1100,3,"y","n",1
"Susiana","IqAbbs2",1200,3,"y","y",1
"Susiana","IrIlkhn",1300,3,"y","n",1
"Susiana","UzTimur",1400,3,"y","y",1
"Susiana","IrAkKoy",1500,3,"y","n",1
"Susiana","IrSafvd",1600,3,"y","n",1
"Susiana","IrSafvd",1700,3,"n","n",1
"Susiana","IrQajar",1800,3,"y","n",1
"Susiana","IrQajar",1900,3,"y","n",1
"Galilee","IlCanaa",-2000,3,"y","n",1
"Galilee","IlCanaa",-1900,3,"n","n",1
"Galilee","IlCanaa",-1800,3,"y","n",1
"Galilee","IlCanaa",-1700,3,"n","n",1
"Galilee","IlCanaa",-1600,3,"n","n",1
"Galilee","IlCanaa",-1500,2.54492230363301,"y","n",1
"Galilee","IlCanaa",-1400,3,"n","n",1
"Galilee","IlCanaa",-1300,2.58126777005162,"n","n",1
"Galilee","IlCanaa",-1200,2.5764018171768,"n","n",1
"Galilee","LbAcPho",-1100,2.65773043084186,"y","n",1
